id,nombre,ciudad_en_la_muestra,tarea,motivo,direccion_actual,fuente_en_la_muestra
icos,Instituto Clínico Oncológico del Sur (ICOS),Temuco,verificar,"La dirección vino de Oncosur, que atiende 'en Clínica ICOS'. Confirmá con una fuente del propio ICOS (Instituto Clínico Oncológico del Sur) que esa es su sede.","Lago Puyehue 01745, Temuco (según sitio_oficial)",https://clinicaltrials.gov/search?locStr=Chile&term=Instituto+Clinico+Oncologico+del+Sur
cic-vina,Centro de Investigaciones Clínicas Viña del Mar,Viña del Mar,verificar,"El mapa lo ubica en el Hospital Clínico Viña del Mar (Limache 1741) porque ClinicalTrials.gov nombra esa sede. Buscá la dirección propia del centro de investigación; si funciona dentro del hospital, confirmalo con una fuente.","Limache 1741, Viña del Mar (según openstreetmap)",https://clinicaltrials.gov/search?locStr=Chile&term=Centro+de+Investigaciones+Clínicas+Viña+del+Mar
redsalud,Clínica RedSalud,Santiago,verificar,"ClinicalTrials.gov nombra 'Clinica Redsalud Vitacura'. Confirmá con el sitio oficial de RedSalud la dirección de esa clínica (hoy: Av. Tabancura 1185, según OpenStreetMap).","Avenida Tabancura 1185, Vitacura (según openstreetmap)",https://clinicaltrials.gov/search?locStr=Chile&term=Clinica+Redsalud+Vitacura
bradford-hill,Bradford Hill Clinical Research Center,Santiago,verificar,"El sitio oficial dice Palestina (ex Manzano) 343, Recoleta; el DEIS tiene un 'Laboratorio Clínico Bradford Hill' en Manzano 377. ¿Son dos recintos de la misma institución? ¿Cuál es el del centro de investigación?","Palestina (ex Manzano) 343, 5.º piso, Recoleta (según sitio_oficial)",https://pubmed.ncbi.nlm.nih.gov/41946650/
oncocentro,Oncocentro APYS,Viña del Mar,verificar,En la muestra es 'Oncocentro APYS'; la dirección vino de 'Oncocentro'. Confirmá que APYS es la misma institución.,"Avenida La Marina 1702, Viña del Mar (según sitio_oficial)",https://clinicaltrials.gov/search?locStr=Chile&term=Oncocentro+Apys
uchile,Universidad de Chile,Santiago,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Santiago en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Avenida Libertador Bernardo O'Higgins 1058, Casa Central, Santiago (según sitio_oficial)",
puc,Pontificia Universidad Católica de Chile,Santiago,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Santiago en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Avenida Libertador Bernardo O'Higgins 360, Santiago (según openstreetmap)",
uandes,Universidad de los Andes,Santiago,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Santiago en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Avenida Monseñor Álvaro del Portillo 12455, Las Condes (según openstreetmap)",
uautonoma,Universidad Autónoma de Chile,Talca,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Talca en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Avenida Canal de la Luz, Talca (según openstreetmap)",
udec,Universidad de Concepción,Concepción,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Concepción en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Víctor Lamas 1290, Concepción (según openstreetmap)",
utarapaca,Universidad de Tarapacá,Arica,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Arica en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","18 de Septiembre 2222, Arica (según openstreetmap)",
unab,Universidad Andrés Bello,Santiago,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Santiago en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Sazié 2212, Santiago (según openstreetmap)",
uach,Universidad Austral de Chile,Valdivia,sede_medicina,"Buscá la dirección de la Facultad o Escuela de Medicina en Valdivia en el sitio oficial. Si es otra, resultado corregida y la dirección actual va a otras_sedes; si es la misma, confirmada.","Campus Isla Teja, sin número, Valdivia (según openstreetmap)",
